Price,Close,High,Low,Open,Volume
Ticker,JNJ,JNJ,JNJ,JNJ,JNJ
Date,,,,,
2015-12-14,77.43965911865234,77.54579230366701,76.4010634837805,77.0606103767929,10641500
2015-12-15,78.94068145751953,79.36521994139133,77.81870052630121,77.81870052630121,9283200
2015-12-16,79.78976440429688,79.97170619059337,78.47825314283963,79.32732445193176,8178800
2015-12-17,78.56922149658203,79.79734148279256,78.56163890239485,79.72153289239493,8740800
2015-12-18,77.28803253173828,78.14468634986615,77.28803253173828,78.14468634986615,14966000
2015-12-21,77.00753784179688,78.02338561535376,76.45412417650478,77.58368772060929,8321900
2015-12-22,77.86416625976562,77.99304140151037,76.68153642479433,77.25769194247238,5581600
2015-12-23,78.45547485351562,78.59193257607673,77.88690197348143,78.16740000980771,5531700
2015-12-24,78.62984466552734,78.77388498830034,78.09159633282671,78.1749874898192,2546300
2015-12-28,78.25081634521484,78.44034069955461,78.0309674001218,78.22049175446156,4063000
2015-12-29,78.86487579345703,78.98617416014764,78.34178670879662,78.34178670879662,4230000
2015-12-30,78.67533874511719,79.09987139241946,78.48581441559674,78.92551224820183,3847800
2015-12-31,77.87174224853516,78.55403085848121,77.84900025884069,78.36450656593077,4592600
2016-01-04,76.17361450195312,77.18187945241506,75.39276947320157,77.10607088390391,12722800
2016-01-05,76.49202728271484,76.90140056456374,76.24185375761428,76.24943635093298,6467200
2016-01-06,76.10540771484375,76.54510565384308,75.50650999458429,75.67329237033059,7733800
2016-01-07,75.21842193603516,75.8779629459303,74.96066582278645,75.28664792306269,9433100
2016-01-08,74.41484832763672,75.76426086067522,74.17983418558006,75.71877108076048,9766700
2016-01-11,73.96753692626953,74.77111803524024,72.83797381923713,74.47546061651245,8151400
2016-01-12,74.4754867553711,74.77114427786658,73.71738935741871,74.285962405883,6745000
2016-01-13,73.55059051513672,75.03646617176989,73.41413278274482,74.66499436570018,8290700
2016-01-14,74.96826934814453,75.40796733339376,73.53546538226824,73.61127398362918,10164300
2016-01-15,73.53545379638672,74.29355125820514,72.9668807000229,73.05785447761798,12662200
2016-01-19,73.91451263427734,74.60438419510012,73.45965525175457,74.24049481878666,12457800
2016-01-20,72.58782196044922,73.74770999169002,71.66294225914447,72.86073747177926,12685200
2016-01-21,72.73187255859375,73.26253846994861,71.47342799191705,72.60299159398645,11266400
2016-01-22,73.34593200683594,73.60368237667055,72.7394517025518,73.55061578383255,8380000
2016-01-25,73.08058166503906,74.05852788664636,72.80766617138943,73.32317257230281,9350200
2016-01-26,76.70428466796875,76.82557722778382,73.64157089697846,73.7325446547073,17266600
2016-01-27,77.4472427368164,78.37211682076753,76.18121552656204,76.18121552656204,19330500
2016-01-28,77.5306167602539,78.11435498369673,77.21221724773456,77.70498170310441,12789500
2016-01-29,79.1756820678711,79.41069037471985,77.80352205297875,78.00062896598078,15614600
2016-02-01,79.12264251708984,79.4410420965167,78.25082918728513,78.54648676587082,9803700
2016-02-02,78.3948745727539,79.03925636760894,78.08405178455966,78.31148337513231,10616300
2016-02-03,78.94825744628906,79.13019919054184,77.33351217542011,78.57679136482437,10168600
2016-02-04,78.76631164550781,78.91034620137081,77.87933918115355,78.54646273160554,10389000
2016-02-05,76.21910095214844,77.90965464154978,75.64294540194243,77.82626926216595,15522200
2016-02-08,77.3259506225586,78.47067955026561,75.9765378998515,76.04476390357641,14323800
2016-02-09,77.30319213867188,77.50787589002914,76.54509474519085,76.80284508273883,10044500
2016-02-10,77.12122344970703,78.01577829295114,76.84830802066156,77.36381429954498,9833100
2016-02-11,77.09850311279297,77.34109404895646,75.79458044580433,76.15846395813747,12465800
2016-02-12,77.18948364257812,77.31078201319453,76.35557758797668,77.18948364257812,9035000
2016-02-16,77.56851959228516,78.12193319533075,77.06059576263664,77.60642677281211,10452800
2016-02-17,77.70498657226562,78.26597705097505,77.50030281105556,77.89451092975895,8904000
2016-02-18,79.02405548095703,79.35762012076916,77.70496788942647,77.95514136928556,10744600
2016-02-19,79.53568267822266,79.93274764118901,78.9400764951631,79.09279826995017,9343300
2016-02-22,79.9861831665039,79.9861831665039,79.45167162361042,79.53566712688495,6947000
2016-02-23,79.47457885742188,80.01672794691952,79.38294580997226,79.90982563776443,6629200
2016-02-24,80.14652252197266,80.23815555279896,78.62697783829825,78.90950282163806,9076100
2016-02-25,81.2308578491211,81.23849539496901,80.00147512593001,80.1389218224899,8092500
2016-02-26,80.77269744873047,81.6431911796288,80.49780407836889,81.56683320469281,9049400
2016-02-29,80.3374252319336,81.09337884900854,80.2076161329311,80.39087638009569,10111100
